test_case,call_number,latency_in_seconds
REAL,49,0.060446739196777344
REAL,50,0.05723285675048828
REAL,51,0.05175280570983887
REAL,52,0.05214047431945801
REAL,53,0.06297516822814941
REAL,54,0.0474395751953125
REAL,55,0.06275439262390137
REAL,56,0.047003746032714844
REAL,57,0.06336188316345215
REAL,58,0.0625462532043457
REAL,59,0.04751467704772949
REAL,60,0.0626220703125
REAL,61,0.05177950859069824
REAL,62,0.060126543045043945
REAL,63,0.047574520111083984
REAL,64,0.06289005279541016
REAL,65,0.04717087745666504
REAL,66,0.07296586036682129
REAL,67,0.05168032646179199
REAL,68,0.048043012619018555
REAL,69,0.0630033016204834
REAL,70,0.05045914649963379
REAL,71,0.060294389724731445
REAL,72,0.05579209327697754
REAL,73,0.05282878875732422
REAL,74,0.04880857467651367
REAL,75,0.061959028244018555
REAL,76,0.04696297645568848
REAL,77,0.06309247016906738
REAL,78,0.04686856269836426
REAL,79,0.06270122528076172
REAL,80,0.0555419921875
REAL,81,0.05480074882507324
REAL,82,0.05321168899536133
REAL,83,0.058174848556518555
REAL,84,0.04686117172241211
REAL,85,0.06254076957702637
REAL,86,0.04765915870666504
REAL,87,0.0632786750793457
REAL,88,0.06343412399291992
REAL,89,0.048706769943237305
REAL,90,0.05652189254760742
REAL,91,0.06128573417663574
REAL,92,0.059723854064941406
REAL,93,0.05169987678527832
REAL,94,0.04629182815551758
REAL,95,0.06347155570983887
REAL,96,0.046823978424072266
REAL,97,0.06297612190246582
REAL,98,0.06224393844604492
REAL,99,0.0556640625
REAL,100,0.05574774742126465
REAL,1,0.06313800811767578
REAL,2,0.04780769348144531
REAL,3,0.06235027313232422
REAL,4,0.053495168685913086
REAL,5,0.07090044021606445
REAL,6,0.058007001876831055
REAL,7,0.07248950004577637
REAL,8,0.07479429244995117
REAL,9,0.05783796310424805
REAL,10,0.054105520248413086
REAL,11,0.061005592346191406
REAL,12,0.0767209529876709
REAL,13,0.05762076377868652
REAL,14,0.056883811950683594
REAL,15,0.05805778503417969
REAL,16,0.0646979808807373
REAL,17,0.05311441421508789
REAL,18,0.05907416343688965
REAL,19,0.059816837310791016
REAL,20,0.05030536651611328
REAL,21,0.06308555603027344
REAL,22,0.052692413330078125
REAL,23,0.0634315013885498
REAL,24,0.061676740646362305
REAL,25,0.054488182067871094
REAL,26,0.04983067512512207
REAL,27,0.06286382675170898
REAL,28,0.05589437484741211
REAL,29,0.05826902389526367
REAL,30,0.05990242958068848
REAL,31,0.05605912208557129
REAL,32,0.06014704704284668
REAL,33,0.04956412315368652
REAL,34,0.04747176170349121
REAL,35,0.06279635429382324
REAL,36,0.062487125396728516
REAL,37,0.059603214263916016
REAL,38,0.0501863956451416
REAL,39,0.062372446060180664
REAL,40,0.06260514259338379
REAL,41,0.06268167495727539
REAL,42,0.0625910758972168
REAL,43,0.04722929000854492
REAL,44,0.055597782135009766
REAL,45,0.07971048355102539
REAL,46,0.04667854309082031
REAL,47,0.051110267639160156
REAL,48,0.05985426902770996
REAL,49,0.06058979034423828
REAL,50,0.054537057876586914
REAL,51,0.0573883056640625
REAL,52,0.04840683937072754
REAL,53,0.0647420883178711
REAL,54,0.04482245445251465
REAL,55,0.06291556358337402
REAL,56,0.05992245674133301
REAL,57,0.06069326400756836
REAL,58,0.047484397888183594
REAL,59,0.06329655647277832
REAL,60,0.04764986038208008
REAL,61,0.06033778190612793
REAL,62,0.05360531806945801
REAL,63,0.04329514503479004
REAL,64,0.07226872444152832
REAL,65,0.05985140800476074
REAL,66,0.05251002311706543
REAL,67,0.04771280288696289
REAL,68,0.0627450942993164
REAL,69,0.0630958080291748
REAL,70,0.0498659610748291
REAL,71,0.06167101860046387
REAL,72,0.08037567138671875
REAL,73,0.04407477378845215
REAL,74,0.047440528869628906
REAL,75,0.06577777862548828
REAL,76,0.05780649185180664
REAL,77,0.05664229393005371
REAL,78,0.0661616325378418
REAL,79,0.05738210678100586
REAL,80,0.055891990661621094
REAL,81,0.05402874946594238
REAL,82,0.05679178237915039
REAL,83,0.06317710876464844
REAL,84,0.049787282943725586
REAL,85,0.06374239921569824
REAL,86,0.05049276351928711
REAL,87,0.0592188835144043
REAL,88,0.06706905364990234
REAL,89,0.05183696746826172
REAL,90,0.055266380310058594
REAL,91,0.054946184158325195
REAL,92,0.06571555137634277
REAL,93,0.06770181655883789
REAL,94,0.058882951736450195
REAL,95,0.05730104446411133
REAL,96,0.04798102378845215
